lp	lb	ng
-0.158798256	12.08635983	1
0.093666432	11.92788341	1
-0.497084232	11.34439227	1
-2.312917155	8.352182518	1
-0.025510875	11.79795964	1
0.048529197	12.26007139	1
0.085324121	12.23299611	1
-0.450099633	10.70243054	1
0.325345483	12.6580114	1
-0.326023958	12.10380372	1
-0.131907154	11.43933269	1
0.225093115	12.50514998	1
-1.080101187	11.28103337	1
-0.092822512	11.40140054	1
0.108450008	12.61700034	1
0.029837318	11.36172784	1
-0.993795041	11.8920946	1
-0.333974624	11.3783979	1
-0.863399911	11.0211893	1
-0.382199993	10.85793526	1
-0.564711594	12.2380461	1
0.087408346	11.84509804	1
-0.707033242	11.35602586	1
0.165738304	11.91115761	1
0.438802847	12.34044411	1
-0.079489531	12.0211893	1
0.258052962	11.72427587	1
0.371390229	13.3283796	1
-1.182328879	12.5575072	1
-0.20028047	11.94448267	1
0.032349963	11.75281643	1
-0.260522594	11.78532984	1
0.166376823	12.33445375	1
-0.663352179	12.54406804	1
-0.349005145	11.07188201	1
0.142259283	12.13353891	1
0.48173951	12.14612804	1
-0.048992943	11.64738297	1
-0.14598561	12.08635983	1
-0.569923331	10.65321251	1
0.414476465	11.5899496	1
0.286563795	12.7126497	1
-0.352515315	12.38560627	1
-0.705467643	11.49136169	1
-0.805813237	11.92376196	1
-0.263401936	11.96707973	1
-0.225792625	12.26481782	1
-0.408139915	11.24303805	1
0.538197081	12.99475694	1
0.334716661	12.20411998	1
-0.346355337	11.41830129	1
-0.358512008	11.33243846	1
-0.260475913	12.25527251	1
-0.467590901	11.95904139	1
0.397420629	11.86510397	1
0.274961013	12.00432137	1
0.054259041	12.10380372	1
-0.194794889	12.28103337	1
-0.492060514	11.41664051	1
-0.616827578	10.9360108	1
-0.450459723	11.2121876	1
0.573514323	13.09342169	1
-0.016365595	11.59879051	1
-1.480368861	12.5774918	1
0.095467848	11.92890769	1
-0.844184378	11.86510397	1
-0.280444165	11.69019608	1
0.109246034	12.01703334	1
-0.609109031	12.29446623	1
0.453906686	12.673942	1
0.354370666	12.40483372	1
-0.402338813	11.86153441	1
-1.254160399	9.563481085	1
-0.525809969	11.13033377	1
-0.475007052	12.65513843	1
-0.568710233	10.65030752	1
-0.47728458	12.46982202	1
-0.212001419	11.372912	1
0.016647314	11.97312785	1
-0.460267934	11.88986172	1
-0.322505285	12.58092498	1
-0.321825004	11.99431715	1
-0.167124008	12.20951501	1
0.094966633	12.4785665	1
-0.54090921	12.74429298	1
-0.526666337	12.6919651	1
-0.625070278	12.2121876	1
0.512312232	12.55266822	1
0.297672331	12.40483372	1
-0.043873368	11.91645395	1
0.091615613	12.45484486	1
-0.034302649	11.5797836	1
0.084376421	12.33645973	1
0.088048867	11.26245109	1
-0.737176479	10.88874096	1
-0.249264104	12.36172784	1
-0.414662244	12.66838592	1
-0.314018346	11.39794001	1
0.084250882	11.84818912	1
-2.260348556	8.462397998	1
-0.011117895	12.43136376	1
0.923819725	13.38916608	1
-0.372315709	11.30319606	1
0.536849726	13.50650503	1
-0.599187533	12.73239376	1
-0.292293596	12.49831055	1
0.254366781	12.51054501	1
-0.806179974	12.14612804	1
-0.494353581	12.1271048	1
-0.426061392	11.89652622	1
-0.777902905	12.2278867	1
-0.667892942	11.8893017	1
0.445763727	12.83884909	1
0.039593353	12.0211893	1
0.159070358	12.10037055	1
-0.166046907	12.02530587	1
0.340837974	12.48713838	1
1.055775208	13.40483372	1
-0.278482859	11.65417654	1
-0.062307122	11.77524626	1
-0.261854705	12.1172713	1
-0.316416282	11.17318627	1
0.111343516	11.673942	1
-0.190331894	11.48144263	1
-0.117053326	11.82801506	1
0.334706815	12.11058971	1
0.092766247	12.2121876	1
-0.903660155	11.74741181	1
0.030829153	12.56348109	1
-0.263248239	11.01283722	1
-0.401507147	12.07554696	1
-0.94769475	10.51454775	1
-0.275182829	11.98407703	1
0.266917885	12.13672057	1
-0.506299425	11.80550086	1
-0.916798481	11.87040391	1
-0.26647854	12.36735592	1
-1.049012389	12.5289167	1
0.105090334	12.47421626	1
-0.123999361	12.21748394	1
-0.510630818	11.04532298	1
0.231455827	12.07554696	1
-0.14229851	12.04139269	1
-0.190875471	12.39794001	1
-0.679945154	11.28330123	1
0.047701941	12.13033377	1
-0.434207652	11.73719264	1
0.204724317	11.93247376	1
0.102960303	12.45636603	1
-1.189189704	11.84135947	1
-0.240277777	12.45178644	1
-0.016595201	12.11058971	1
-0.485752506	12.4456042	1
-0.354582644	12.79865065	1
-0.180250152	11.42975228	1
-0.015395736	12.13672057	1
-0.259990417	11.70757018	1
-0.005119554	11.58883173	1
-0.460563812	12.47275645	1
-0.467431605	11.63042788	1
-0.595926108	11.83821922	1
-0.39617818	11.7201593	1
-0.971611775	12.11058971	1
0.134460805	11.83378437	1
0.183578724	12.37474835	1
0.085282014	11.04921802	1
0.195344397	12.38201704	1
-0.365898744	12.38916608	1
-0.022144298	12.98855896	1
-0.127089468	12.71683772	1
-0.131061234	12.28330123	1
0.285923267	11.84695533	1
0.642678054	12.78816837	1
-0.243813631	11.59769519	1
0.159799617	12.41830129	1
-1.057768653	12.23552845	1
-0.18140597	11.94250411	1
-0.177591948	12.59549622	1
-0.092520383	12.75815462	1
0.036396518	11.50242712	1
-0.243924044	11.2121876	1
-0.479403814	12.10720997	1
0.040486038	12.29666519	1
-0.193809169	11.81023252	1
0.137928254	11.95568775	1
-0.596767916	11.38738983	1
-0.325291302	12.66370093	1
-0.064433287	12.24551267	1
-0.691313958	11.80413943	1
-0.173869456	11.37474835	1
-0.592308338	11.69983773	1
0.157330723	12.93951925	1
0.220415909	12.08278537	1
0.888383952	13.33845649	1
-0.109299044	12.04921802	1
-0.512759782	12.41995575	1
-0.077899192	11.84509804	1
0.401046239	12.17897695	1
0.329111171	12.95760729	1
-0.086233287	12.58546073	1
-0.353693339	11.70156799	1
-0.854238167	12.4578819	1
-0.11374397	12.08990511	1
-1.056337339	11.39967372	1
-0.969052334	12.47421626	1
-0.298035891	12.10380372	1
0.256403815	12.25285303	1
-0.789149307	12.26245109	1
0.092827627	12.85491302	1
-0.852385501	11.99343623	1
-0.173908344	11.28103337	1
0.215829425	13.1931246	1
-0.952834207	12.82085799	1
-2.287182	8.495544338	1
-1.03903955	12.08990511	1
-0.513695648	11.8739016	1
0.381588303	12.82216808	1
-0.333287379	12.07554696	1
0.060920595	11.71683772	1
-0.236888857	11.65896484	1
-0.292116564	11.96754798	1
-0.272863948	11.9360108	1
-1.539824076	9.149219113	1
-0.179147259	11.96425963	1
0.141878525	12.06445799	1
0.068504599	12.45331834	1
-0.539700664	12.24303805	1
-0.856894601	12.4456042	1
-0.486421526	11.30963017	1
-0.432471367	11.81822589	1
-0.481054612	11.15836249	1
-0.702346708	11.76789762	1
-0.907732128	12.54282543	1
0.342881409	12.49831055	1
-0.743301492	12.28330123	1
-0.415861084	11.59106461	1
-0.459784433	12.07918125	1
-0.641448436	11.34439227	1
0.264818767	12.38560627	1
-0.023394197	12.97634998	1
-1.001474759	12.24054925	1
-0.348106848	11.75587486	1
0.465293157	12.8920946	1
-0.170000627	11.80002936	1
-0.37422777	12.09342169	1
-0.201828793	11.5797836	1
-0.705295749	12.0374265	1
0.129497188	12.13033377	1
-0.210228973	11.80888587	1
0.073717984	12.35793485	1
-2.46941614	8.053078443	1
-0.401661526	11.80208926	1
-0.55144053	11.87621784	1
-1.199331027	12.00432137	1
0.434238906	12.40483372	1
-0.597269317	10.68394713	1
0.180851292	11.86153441	1
0.255126751	13.2278867	1
-0.253168934	12.0374265	1
-1.187340613	12.161368	1
-0.475976661	11.72509452	1
-0.085929884	12.18752072	1
-0.055112833	12.80955971	1
0.219175709	12.31386722	1
-0.585399303	12.1430148	1
-0.025415547	12.44247977	1
-0.296625211	12.40483372	1
0.062684248	11.72672721	1
-0.389379223	13.61278386	1
0.358048549	12.46686762	1
-0.27101107	12.08990511	1
-0.611121177	11.10720997	1
-0.193661266	12.31386722	1
-0.566335753	12.08278537	1
-0.632688815	11.90848502	1
-0.731515636	10.61700034	1
-0.868134429	13.00860017	1
-0.319574736	11.74193908	1
-0.693066984	11.38381537	1
-0.237009516	12.14612804	1
-0.287363765	10.88195497	1
-0.789619939	10.71096312	1
-0.166863092	11.91115761	1
-0.591161596	11.54032947	1
-0.756550187	11.04139269	1
